"nama","ulasan","penilaian"
"Wahyu Nus","terima kasih banyak semoga tokopedia semakin sukses","5"
"Budiman","Mantab Toped, ga salah belanja di sini","5"
"Etik Duwi","syuka banget sama aplikasi toko pedia semoga semakin terdepan","5"
"Shellani Rahma P","sedihh pertama kali download eh dpt pot 30k sma gratis ongkir 40k pas udh bayar di batalkan sma pihak tokped ktanya melanggar manipulasi :"") pdhl nga ngapa2in jga??","2"
"Rondauli Sihombing","Kacau banget serasa ditipu padahal pengguna baru kn, pakai vocher trus di Batalkan sm pihak tokped dan tiba"" diberitahukan bahwa khusus pengguna baru yang boleh trus vocher nya ilang semua ??","1"
"retni rahadian","Lebih banyak pilhan untuk barang yg kita cari.. Kwalitas bagus2","5"
"Hermawan Iskandar","Mana voucer hadiah saya sebesar Rp. 788.000 , gak ada Saya klik, (kotak hadiah dapet voucer gede ) Mana masuk kagak Tolong jgn suruh download aplikasi ini kalo Disini banyak bohongnya Namanya penipuan Minta tolong penjelasannya Mohon maaf, saya kasih masukan kalo pengen maju puasin pelanggan, kasian","1"
"Hadi Susanto","Tokopedia kenapa skrng kok tdk ada toko poinnya ... dulu ovo point trz di ganti toko point skrng belanja gadget tdk dpt toko point .... hadeeeeehhh makin lama kok makin medit","1"
"Bocah Ilang","makasih, toko pedia","5"
"Beni Putra","sangatlah bagus untuk pengguna baru di Tokopedia","3"
"Deniese Official","mudah seller fast respon .. tapi banyakin gratis ongkir dong masa ongkir bayar mulu belanja diatas50","4"
"NEindy VA","Saya senang dgn tokopedia dan saya selalu pesan barang melalui tokopedia, barang yg saya pesan selalu sampai dgn baik dan dapat discont, dari biaya pengiriman.....lanjutnkan tokopedia 5 stars untuk anda..??????","5"
"edi mardianto","toko pedia sangat bagus pelayanannya maju terus tokopedia","5"
"IKHSAN MAULANA","aplikasi nyaa bagus banget !.!!!!!!!!!!! terimakasih Tokopedia sudah teraktiran belanja","1"
"Hudi Saroni","Sangat membantu di pandemi ini makasi banyak tokopedia","5"
"tata ta","terima kasih tokopedia","5"
"Alboy Vicky","Cukup membantu,, dan akses nya pun cukup mudah.","4"
"Dede Oktavia","Good pembayarannya mudah","5"
"arik Julianto","terimakasih tokopedia .semoga selalu amanah","5"
"edi paryono","Semoga Jadi lebih baik,.....dan tambah sukses...!!!","5"
"Harumningsih Surya","Selama belanja ok sih hampir tiap minggu belanja nih??, walau kdg ada yg kurang baik mis brg dtg pecah sdh komplain tp tdk ada respon dr penjual, tp sebagian komplain sih respon baik, mks toped dg adanya toped tdk susah utk belanja dan yg lbh menyenangkan harga ok, byk pilihan lg????","4"
"Nirrfarani SH","knp yah pas mau kode vertivikasintah gak muncul muncul dan gak ada tolong bantuanyah","2"
"The Bastards","Parah??????Katanya untuk anggota yg baru daftar bisa pilih belanja gratis 1 produk. Tp nyatanya giliran saya download aplikasi ini trs daftar trs saya pesen tripod mini buat hp malah langsung dibatalkan. Padahal saya juga udh mengikuti sesuai ketentuan nya??????","1"
"Keluarga Mughni","Nyesel belanja elektronik disini, sudah melakukan komplain dan pengembalian barang rusak untuk penggantian produk baru. Eh tokonya sampai sekarang belum kirim dana kembali atau barang pengganti, udah gitu gak bisa lapor ke CS Tokopedia nya lagi. Mana tokonya di chat gak ada balasan, kecewa beribu kecewa belanja dan install aplikasi ini. Kasih kemudahan belanja dong ke pembeli, jangan menguntungkan penjual saja. Mana penjual-penjual nya gak pada amanah lagi","1"
"Fonky Al-JAYASINGA","Anda Korups mainin jarak di maps yax..buyer sdh akurat kasi Titik anda rubah .& buat seller Instan expres yg dimanifulasi ke sameday atau yg menyalahi prosedur lalin... Gimana Klo kena tuntut hukum. Disana sudah jelas aturan berat dan dimensi","3"
"Silver Ouja","Tolong dong klo menyediakan Top up untuk google play itu yang benar... Baru skrg kejadian begini karna biasanya normal2x saja... Karna pas sdh di bayar trus mau di Redeem malah gk bisa di Redeem karna tempat negara pembeliannya tidak sama... Tolong di proses masalah nya sdh saya post ke ""pesan bantuan"" rugi klo begini caranya... Jangan cuma terima uang doang trus masa bodo pas udh kejadian... Klo kaya udh kek gini gk mau tanggung jawab kan... Saya butuh proses bukan dapat jawaban dari bot pesan.","1"
"muhammad saifuddin","Judulnya gratis ongkir, ternyata masih bayar ongkir, maksudnya gimana, tidak jujur.....!","1"
"Jean Boru Bakkara","Salah satu Aplikasi belanja Online yg saya instal di hp. Yang prosesnya cepet n seller nya trusted bgt. puas.","5"
"master wong didik","Saya terpilih mendapat hadiah sng pengguna baru ,moga benar2 gratis...","4"
"Iyus Birong","br buka mudah2an bnyk manfaat nya dan promo nya lebih mantap????","5"
"Rayanna Jewelry","Buat apa dibuat kupon promo kalo akhirnya gak bisa dipake? Ternyata tokopedia lebih buruk daripada olshop sebelah yg beneran kasih promo untuk costumernya.. Gak pake embel2 syarat yg gak jelas.. Maaf saya kritik seperti ini!","1"
"Heni Prasetiowati","Parah banget Tokopedia Ribet banget mau narik saldo yg udah terlanjur ditransfer tapi dibatalkan secara sepihak. Bikin kapok sih belanja online disini, padahal ini pertama kalinya nyoba, eh malah dapet first impression yang buruk.","1"
"Aab Rohim","mudah²han selalu lebih baik","5"
"SUPRI supri","sangat membantu dalam mencari beberapa kebutuhan terima kasih","5"
"agung kusuma","Saya mau ubah nama data diri saya tdk bisa dan sdh di chat kenapa tdk ada tanggapin","1"
"Adam Arif","vouchernya sekarang kurang bagus, dulu vouchernya full di pake sekarang klw ongkirnya 17.000 trus pake voucher 20.000 terpotong ongkirnya aja 17.000","5"
"Juniarti Qolbie","Pertama kali belanja di sini langsung suka, gak ada kendala. Tiap hari dapat berbagai voucher, udh gitu bisa milih jasa pengiriman apa yg kita mau, gak maksa kayak app oranye itu, bisa COD lagi. Selain dpt Gratis Ongkir, kita jg dpt promo dan itu bisa di gabung pakai nya. Mantul deh pokoknya ????","5"
"Keluarga Nayul","tolong diupdate pembayaran via bank BSI nya di adain.soalnya belum ada tuh pembayaran via bank BSI","5"
"Chandra Syahputra","Pantai Labu Pekan, ToPed aplikasi keyyyyennn...","5"
"Danang Danish","sudah bertahun-tahun pake tokped dan sangat nyaman. tapi ketika nemu toko yg menyepelekan pembeli, saya ngga merasa terbantu dengan tokped. saya order dan pembayaran pembelian masker dengan kurir instan pukul 11.51 tidak ada konfirmasi dari penjual sampai 14.49 dan saya mau batalin karena sudah 2 jam tidak ada konfirmasi dari penjual dan chat tidak direspon. dan sampai esok harinya, msih belum juga dikirim. kenapa pembatalan harus persetujuan penjual ? pdhl penjual yg nggak respon ? payah !!!!!","1"
"Marisa Ica","Pesanan ku kok dibatalkan otomatis oleh tokopedia katanya karena pesanan melanggar t&c tolong di perbaiki","1"
"Muhammad Febby Aliyun Pratama","tokopedia memang yang terbaik, dari pada aplikasi online shop sebelah ????","5"
"Alfin lbm","sangat tidak baik bonus pengguna Barupun gak kaya toko sebelah","1"
"Komedi BOCAH","Error' tidak bisa masuk","5"
"zildjian Ahmad Farrel gamer java edition","Pleas kalian jangan download aplikasi ini yang pasti nyesel","1"
"Fatmaro Naiga","Ngeklaim pengguna baru .... udah 1 bulan paket nggak dateng2","1"
"Boby 218","pelayanan cs buruk, tidak ada solusi hanya disuruh menunggu tanpa batas waktu","1"
"e","Top up voucher pas mau di tukar malah ga bisa hood job dah","1"
"Azka Andrian andrian","Tokopedia keren , banyak kupon diskon , makin sukses","5"
"bambang arif","Semakin berat dan tidak responsif. Panen telornya sering error, seperti curang, sering hilang poin.","2"
"Fauzi Abdullah","Produk yang ditawarkan kalau bisa yang berkualitas.","4"
"Yoga Pradana","Saya sebagai user TOKOPEDIA saya sangat mengharapkan untuk menambah pilihan di bagian kredit Seperti akulaku dan lainnya;)","3"
"Syasa Kamisya","Aplikasi nya bagus banget aku visa beri barang barang yang aku suka dan selalu ada yang aku inginkan ????????","5"
"Karyono Tunanetera","ongkirnya itu sangat mahal sekali nggak seperti aplikasi-aplikasi yang lainnya mendingan saya uninstall aja aplikasi ini","1"
"Dzaky Pratama","Kecewa sekali,pertama kali download,katanya dapet promo, sudah pilih barang, udah bayar, eh di batalin pihak tokped, 5x coba seperti itu trs,padahal keterangan awal pembayaran sudah di verifikasi,mau uninstal masih punya saldo yg tertinggal,promonya menarik tapi kog nyatanya bikin kecewa ya?????","1"
"Juhana Parmudiah","Sangat menyenangkan belanja di Tokopedia dg aplikasi yang mumpuni.","5"
"Weneo Galih","Pelayanan yang mantap","5"
"Muhammad Al Fiqri","cintai produk dalam negeri","5"
"Adia Parma","Tokopedia selalu dihati","5"
"Danil Suhendi","Cashback berubah byk yg hilang, padahal andalan disini karna cashback, klo begini terus mending pindah ke toko sebelah aja, w edit ulasan karna lucu liat komen chandra yg katanya disini point bisa dipake full, haha cobain aja sono di kebijakan skrg cashback point byk yg punah alias dihapus, haha makanya w lari ke toko sebelah, klo menurut gw sih skrg toko sebelah lebih menguntungkan","1"
"Muhammad Aang","Suru dowload ajh suru ambil hadiah mana hadiah nya yg ada suru dowload onoh ini ngabisi kuota","1"
"there w","Selalu puas belanja di tokped,semoga makin banyak promo & free ongkir","5"
"Bangga Morahita","Apk PHP, udh bayar malah dbatalin, trs vocer nya jadi ga ada. Dungu dunguuu.. sekiranya gamau rugi, ga usah byk notif sampah. Iyantata Hati2 smart people, jgn instal apk smph??","1"
"zainal arifin","Sangat puas. terimakasih tokopedia","5"
"Desi Lubis","Gk, ada yg mengecewakan","5"
"Zulpen Andra","terimakasih sangat membantu","5"
"Salaka Nagara","Tolong dong masa mau aktifin ovo gagal trus nanti kl sudah berhasil saya kasih bintang ?? 5","1"
"satria saeful hidayah","jangan bermitra dengan game penipu (dragon city) game penuh tipu daya , katanya download tokopedia dikasih 17 gems , udah instal , daftar dan belanja , malah ga ada kabarnya ,","5"
"jeruk melon","bagus bangeeeet!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!, promo banyak, gratis ongkir banyak apalagi event panen telurnya semoga abis ini diadakan lagi eventnya","5"
"anak klutuk","Padahal ada pilihan cod tapi gak bisa cod 100%","1"
"Yana Amzid","Top banget, iming iming hadiah g pernah kosong","5"
"Edy Rudy","Murah dan banyak discon nya","5"
"maulevi haikal","lumayan untuk pengguna pertama oke dah pokoknya, banyak bonusnya....","5"
"Joko Sutopo","aplikasinya sangat mudah dan membantu setiap transaksi","5"
"Yani Cell","belanja di toko pedia makin simple dan mufah","5"
"Juni Cityzen","Sangat kecewa..lebih baik out dari sini ..serba ribet","2"
"Hendhi Wahyu Winarno","mantap banget dah belanja kagak ribet selalu dapet potongan super gila dah sukses selalu tokopedia makasih banget dah promonya","5"
"Khoerul Fikri","Jngn blnja di sini udah tf mlh d batalin SMa pihak tokopedia.. Dasar apk penipu cuma ambil uangnya aja trus d btalin","1"
"ari bowo","Tokopedia makin mantap","5"
"Rasta Putra","Pembelian direfund mau tarik saldo mibat sandi mulu padahal sandi udah masuk waktu login gimana nih csnya","1"
"Dicki Situmorang","Oke banget deh pokoknya!","5"
"Junaidi","mudah dan murah, tokopedia memang mantap","5"
"Ndaru Aji","Gini aja deh, kalau ngga niat bikin event kek semacam pengguna baru gausah kebanyakan aneh aneh. Mana voucher cuma bisa sekali eh di batalkan pdhal ga ngapa ngapain. Trus pas mau pakai voucher pulsa juga gabisa pdhal blm pernah pake sama sekali. TAPI KALAU BELI APAPUN ITU TANPA VOUCHER LANCAR LANCAR AJA NGGA ADA TUH SEMACAM DI BATALKAN. LAIN KALI KALAU BUAT EVENT YANG SERIUS JANGAN NIPU BERDALIH EVENT PENGGUNA BARU","1"
"Abdee Rizqii Chaidir 027","Gokil banget kan ini aplikasinya!","5"
"anna smoechy","KECEWA PARAH ! SAYA PENGGUNA BARU TAPI PESANAN SAYA DI BATALKAN SEPIHAK..","1"
"Azzahra Maulida","Saya kecewa sama pihak tokped .masa tokopoint di pake belanja mempengaruhi cashback jadi gak masuk .beda sama s Oren .. dahlah maless aing pake tokped","1"
"Intan Febriyani","terimakasih tokopedia seneng banget belanja di tokopedia","5"
"Mami Pina","Gila saya pesen terus aja dibatal otomatis oleh tokopedinya","1"
"ilham Sumarna","Katanya traktir rp. 0 buat pengguna baru tapi udh dicoba berkali2 gak bisa, tetep harus bayar dengan harga normal. setiap masuk menu pembayaran eror terus.","1"
"Erik Wahyudi","Bagai mana caranya mengambil Hadiah","3"
"Ulul Kharisma","AKU SUKA KPOP JADI AKU DOWNLOAD APLIKASI INI DAN BELANJA MERCHANDISE BIASKU???????? FIGHTING YA????... DOWNLOAD DAN UPDATE TOKOPEDIA... NOW!! SEMOGA TOKOPEDIA SELALU MENAMPILKAN IDOL-IDOL K-POP???????? YANG SERU² SEPERTI ???T?, ????????????, BLACKPINK, DLL","5"
"Pandawa official","Cukup bagus dan lumayan puas","4"
"Nayzar Alfahri","Tokped bagus sekali...","5"
"Mohamad Endang S","Apakah benar itu semua..","5"
"Kumala Kudarsih","Sangat mnyenang kalau ad hadiah dan a baru pertama kali jdi bingung gimna cara dapat hadiah","5"
"Marulloh Arull","Mantap saya kasih bitang lima nya ka . Terus optimis yah untuk jadi yg terbaik ??","5"
"Arham 1971","terima kasih Tokopedia transaksi pulsa saya makin gampang,sukses selalu makin banyak pelanggan Tokopedia.","5"
"Antika Miss","Tolong di cek lagi update resi manual dari ekspedisi j&t selalu tidak terdeteksi di aplikasi tokopedia hingga 3x24jam ini bug aplikasi terbaru","2"
"Hendry Suharyanto","coba klo ada paylater gitu??????????","4"
"Charles Sihaloho","sangat puas dan ramah","5"
"Free Fire Max","app belanja dengan promo menarik","5"
"H_S GAMING","bagus untuk pengguna baru","5"
"Dhiva Gaming","saya sudah member platinum ,baru kali ini belanja menggunakan gojek/grab instan sampai 2x24 jam biasanya cepet kenapa sekarang jadi jelek begini ,mending dihapus diaplikasi gojek/grab karena percuma pakai instan mahal2 sampai 50rb sampainya lusa padahal itu pesen dari pagi dan dari pihak sellernya sudah dipickup dari pagi ,tolong diperbaiki donk aplikasinya biar tidak memakan waktu dan kekecewan costumer ,dan saya juga memakai power merchand tetapi seperti tidak memakai power merchand","1"
"Theresiana Kemal","Saya selalu pesan yg perlu,dan memuaskan,minta tolong adik atau keponakan,yg alamatnya sama.Terima kasih.","5"
"Nindy Cantik","servicenya lebih diutamakan ya","5"
"Mama ina","Toko Pedia oke banget dengan diskon ongkir juga cashback nya jadi senang belanja disini ??????","5"
"Rio Chandra","potongan harga setiap Minggu nya","5"
"Ajeng Niken P","horee free ongkir dan banyak diskon","5"
"toto Suprapto","lebih di tingkatkan kemudahan nya","5"
"Canting_klanthing","di banyak i promonya biar tambah mantap tokopedia","5"
"Nandi Surya","Suka blanja d tokopedia respon cepat,pngiriman cepat smoga tambah maju sukses slalu.mksh","5"
"Mariam Sukadi","Saya blum pernah belanja di toko pedia nanti akan sy coba belanja di Tokopedia ok trims atas hadiah2 nya Tokopedia","5"
"Yusman Suryana","Selmat petang sy mau nanya dulu apa betul sy mendapatkan uang sekian dari aplikasi ini mohon penjelasan lebih rinci dimikian dan terimakasih","5"
"Layla Maida","Tokopedia belum update metode pembayaran bank BSI ya? Masih pakai mandiri dan bri syariah. Tidak ada pilihan BSI.","3"
"Buk Yeni","Tokopedia oke. Dan bagus pelayanan nya.","5"
"Marino Rino","Mudah Hanya bila barang tidak ada/stok habis uang dikembalikan namun bea kirim tdk kembali...","5"
"nafa feysha","Saya sudah pesan barang tapi tidak di proses bagaimana ini seller nya kacau udh di tf ya ampun klo kayak gini caranya bisa ngerugiiin customer lain nya saya minta ganti rugi Tokopedia care nya tidak berfungsi dengan baik huh bikin kesal saja","2"
"Deri Andrian","Banyak voucher tapi gak bisa digunakan,tiba tiba pesanan dibatalkan,auto uninstal.","1"
"A k Gamerz","Keren banget apk nya semoga bisa lebih membantu kedepannya","5"
"PutraSFN SFN","Katanya geratis ongkir Saya punya saldo ko ga bisa di tarik sih Gimana ini Tokopedia Saya kecewa banget ????","1"
"Joni Susanto","melindungi pembeli, jadi gak ada was was","5"
"Oktavian Surya Pramono","app terbaik ecocomers produk anak bangsa INDONESIA","5"
"Roni Yatii","terimakasih Tokopedia atas gratis ongkir yg diberikan semoga Tokopedia makin jaya","5"
"Jumi' Atin","Saya JUMI'ATIN lebih 6dapat hadiah kok gak satupun yang masuk ke rekening saya apakah toko pedia penjahat penipu kok hasil undian yang saya menangkan gak satupun yang dikirim saya firalkan loh Tokopedia kalau sering kali bohongin saya","1"
"Kang Copet","sangat senang bergabung dengan TokopediaCare??","5"
"emi","Tokopedia tempat belanja online yg menyenangkan..","5"
"Raden Koesnaidi","Kapan gopay bisa dipakai?","5"
"Tbarif Munawan","Penipuan promo pesanan gratisan dibatalkan","1"
"FH Dian","Min... sdh lama sy pake toped... br kali ini sy kecewa.. pesanan sy salah sebagian... trz ikuti cara komplain... ternyata yg di kembalikan uang atas harga barangnya saja... tp ongkirnya melayang... sy ga pake free ongkir... sharusnya itu di bebankan ke penjual yg salah... bukan ke kami.... hitung ongkir berdasarkan barang yg benar saja... ongkir barang yang salah di tanggung penjual... jgn cm pedagang yg di bela... kami pembeli yg seharusnya di bela... makasih","2"
"Jujutegal Juju","tokopedia skrng sm yg dlu kok beda ya. lebih bagusan yg dlu, klo dlu kan untuk pengguna baru dpt diskon promo 75rb itu beneran bisa dipake promonya . tp sekarang baru bikin akun baru trs mau digunain diskon promonya malah gabisa trs pesanannya otomatis dibatalkan sm pihak tokopedianya . parah deh kacau seharusnya banyak customer yg pd mau beli ditokopedia tp malah skrang banyak yg pd kecewa karna kurang bagus apk nya . kecewa sih .","1"
"Ikbal Fauzan","Traktiran penggguna baru dari hongkong. Dasar kagak mau rugi. Peress. Gua udah order tiba2 d batalin gtu aj. Kupon gua d angusin.. auto delet nih aplikasi gk guna","1"
"Nur Wakit","bintang 1 aja deh soalnya tadi dapat iklan dari youtube kalo instal tokopedia dapat diamond ff. pas udh di instal malah gak dpt apa"" padahal udh lebih dari 30 detik menggunakannya. dua kali deh kena tipu","1"
"beautiful songs kiranarukmi","Cukup memuaskan serta bisa chat langsung ke grosirnya.","5"
"Lilik Pkneela123","Mana katanya dapet hadiah Dah saya Download mana hadiahnya ,jangan hoak ya klo ingin dipercaya konsumen","1"
"Ayu Andira","Katanya aq dpt hadiah 50 juta, ternyata hoak doank","1"
"Karina Agustin","ga jelas, transaksi pertama saya di batalin karna katanya pelanggaran S&K padahal baru pertama kali belanja di sini, terus coba di hp satunya jg begitu, nyesel download buang"" kuota aja","1"
"Haikal Alvaro","sangat baik... dan selalu ori barang nya","5"
"Agus Basuki","Pelayanan yg baik dan tepat waktu dalam pengiriman","5"
"Mohamad saekoni","Kata nya dapet Hadian kok dapet nya pemberitahuan aja suruh ngisi alamat trus padahal udah jelas ada alamat saya","1"
"Nirwan Muhamad","Menu COD ny kadang-kadang gk ada padahal di penjual ny bisa COD tpi pas pilihan pembayaran pilihan COD ny malah gk ada","3"
"Achmad Yusup Fauji AL-Ka'af","terbaik. sangat membantu","5"
"Abyan putra sandi","tokped selama ini pelayanannya bagus","5"
"Dicka Aldilla","APLIKASI NGACO... PENIPU... UDAH TRANSAKSI BUKAN NYA DI PROSES MALAH DI BATALKAN OKEH PIHAK TOKOPEDIA...","1"
"adi adi","sebenarnya agak rumit dr pada yg orange tp tetep ok Krn diskonnya banyak","5"
"Junior Bola","Bagus pengiriman barang cepat tapi kalau mau cod harus belanja minimal 50 rb dulu baru dapat potongan ongkir Tolong dong min lebih di kecilin lagi minimal belanja nya buat dapat gratis ongkir misalnya 20 rb aja","4"
"Mohamad Nur Syaefullah","mohon untuk toko"" yg online ditokopedia harap dikasih sanksi klo perlu gak usah buka lg ditokopedia. Setiap mau transaksi blg ready tp barang sudah berhari gak dikirim, minta dicancel tp hanya dibaca saja. Ini jelas sudah merugikan customer yg menunggu berhari"" Tnpa penjelasan yg pasti.","1"
"Karim Qoutes GPS","apk sangat mudah berbelanja","5"
"IndahRosita","cepat dan memuaskan ??????","5"
"Angga Pratama","Mantap ok dan barangnya bagus menurut pesanan.","5"
"Energi Hijau","Apk gk jelas udh bayar lewat Alfa malah d cancel terus saldo nya gk bisa d tarik pula, jangan download apk ini nyesel banget ???? gk jelas apk nya pantesan gk naik"" huuuhh??","1"
"Hadaniah Spd","??Saya memang blm perna belanja secara langsung tp saya perna pes?????an lewat aplikasi ponaan saya Annisa , dan saya menganggap bahwa Tokopedia memang oke ??????","4"
"JOKO,Tirto Tirto","Gimana cara membuka dan menerima sms dan paggilan tlpn ya mesalahnya aku klik yang muncul malah lain","5"
"Arina Rahmania","Tokopedia lagi kenapa, sih?kok semua barang d semua toko ga bisa dimasukin ke dalam keranjang belanja alasannya jumlah barang tdk valid, ntu maksudnya gimana?","1"
"Hanafy Sullivan","Tolong kurangi IKLAN/produk berlabel AD... Klo bisa tulisanya pertebal atau apalah agar terlihat...asli menggangu sekali","2"
"renny farida","tolong ya saya bayar full kenapa dipotong main taruh di tokopoint yg ga bisa saya trf ke rekening saya. yang salah toko asal kirim ga sesuai gambar. ongkir dua2nya saya yang tanggung. uang barang main potong bagi 2. enak banget kalian cari keuntungan. kembalikan!!!","1"
"Trisno Sur","Selalu belanja di tokopedia karena murah dan cepat pelayanannya.","5"
"ismail akbar","bayar 18rb ggk tau nya refund alasan stok habis jd 10rb..rugii 8rb","3"
"Wisnu Wisnu","Ongkirnya wilayah kalbar mahal bgtz, jadi binggung mo beli untuk jual lagi","2"
"ZAENN CREATIVE","Sellernya lebih diperhatiin lagi ya min,temen saya ada yg beli tapi paketnya diisi kertas doang","5"
"Ezra alika Izzatussunnah","Ini cocok untuk yg suka belanja krn ada tagihan 0% wow Dan juga ada harga sampe 0% ih keren bgt sih ni apk buruan dowlowad tokopedia selalu ada selalu bisa","5"
"salama uar ama uar","semoga aku juga berhasil","4"
"Rendy Putra Amanda","Saya sangat senang dengan aplikasi ini","5"
"Ujang Darianto","Lama update nya ya","5"
"Muhamad Haikal","Mantap sekali bisa belanja no rp","5"
"Panji Aditya","Sesuai pesanan dan tepat waktu","5"
"Pasha Putra","saya sangat puas belanja di tokopedia ??","5"
"Rahman Panther","Bagus sekali...top untuk Tokopedia ??","5"
"Melati Melati","Gmn cara ambl hadia uang 300rb itu","1"
"M Suyanto","Tokopedia emang top marotop....","5"
"Meerah Maricar","Semakin banyak kendala dari Tokopedia dari uang yang hilang di akun saya,terus di suruh relogin tapi ternyata waktu mau masuk lagi ditolak,mau ganti nomer pada akun juga GK bisa,tolong kalau memang saya GK bisa masuk lagi TOLONG KEMBAL?KAN uang saya...","1"
"muhammad hakiki","ya.allah.berilah.rezekimu.pada.hamba.yg.butuh.biaya.sekolah.dipondok.amin","5"
"Faiz Nurrohman","Kasih pelanggaran dong ke seller yg php dah cekout eh pas dichat katanya brng hbis nunggu dana balik juga lama padahal mau beli brng yg lain.","4"
"Nitasari Andhika","benar-benar membantu banget&promonya good ??","5"
"Caramel Macchiato","Tokped keren banget emang","5"
"Acca KidsGirls","apk tidak mengecewakan ??????","5"
"Fajrul Izhar","Barang ga sesuai sama yang di foto","1"
"Adelia Clarisa","Saya dapat pesan dari chrome Katanya saya dapat hadiah 502.000.00 dari toko pedia,udh saya buka gk ada apa2,apk nya kurang jelas","1"
"Faisal Fahri","Aplikasi yang sangat terpercaya","5"
"Ade Saputra","Terima kasih Tokopedia","5"
"Nurma Yunita","Buruk, pelayanan lelet","1"
"Indulgensi Daeli","Satu kata buat tokopedia tentang hadia ""penipu!""","1"
"Rosi Rossi Apriani","Saya baru saja bayar untuk pembelian pertama,to di batalkan otomatis.. padahal sudah bayar..gimana ini..uang saya tolong balikin..??","2"
"Andri Pratama","bagus bngt ngga nyesel","5"
"buronan ormas","Niatnya mau bantu produk bangsa,eh ternyata jelek,kalau emang gak mau rugi gak usah iming"" pengguna baru gratis order,bener sih bisa tapi setelahnya dicancel sepihak","1"
"Fathi Firdaus","Sangat membantu mencari barang yg dibutuhkan, dan aplikasi yg bagus sekali","5"
"Any Maryani","tokped memang terbaik pengguna baru d kasih belanja gratis mksh tokped","5"
"Erik Sutrada","Keren tingkatkan lagi y ??","5"
"Asmajati Ananto","akun saya masih baru, kok pas mau ambil hadiah pengguna baru muncul tulisan ""maaf barang ini hanya tersedia untuk transaksi pertamamu"", lah akun masih baru blm dipake apa² kok dah gabisa claim?","1"
"atok firmansah","pakek tokopedia sangat menyenangkan banyak bonusnya??","5"
"Batman 0910","Mantap sesuai dengan pesanan","5"
"Safira Nuri","Payah nih toped...masa same day udah 2 hari ga nyampe2. Ngapain bikin promo free ongkir gosend kalau gini? PHP doank.","3"
"Manbisa Apasaja","saya blm tau caranya, dan saya sering di hubungi tpi tdk di no. WA","5"
"Riffi RadiAtha","Belanja di toped itu mudah, prosesnya cepat dan tampilan dashboard yang simple membuat saya semakin senang.","5"
"Lusi Nayau","Saya ibu Lusiana saya mau tanya yah jadi gini tadi pas saya buka artikel di Facebook tiba² ada kado suruh pilih 1 kado biar dapat voucher belanja yg pertama kosong yg kedua kosong juga ttus yg ketiga saya dapat voucher 780 ribu dan mau saya pake tapi kok gak bisa ya..padahal tadi di kirim kode verifikasi dr tokopedianya kirim langsung ke no wattshap saya tapi kok masi gak bisa ya itu maksudnya apa..katanya saya member silver di situ","1"
"atmaja kuatsurya","udah nyoba yg lain... tokopedia cocok buat saya.. sukses selalu... trims","5"
"Djumeri Jumeri","Thanks Hadiah Gratis nya Tokped","5"
"Arrafi Adul","Min saya ko pake promo gofood 75% ga bisa ya?? Padahal saya sudah ganti nomor + alamat email Saya kesal padahal saya mau beli makanan","2"
"Jayadi Ayam","Belanja di tokopedia:nyaman,berkualitas,cepat dan puaaa,....sss! Megaphone toa saya mutu ok harga pun bersahabat ""terima kasih Tokopedia""","5"
"Andika sarjan Andikaflog","Ingin mengenal lebih dalam aplikasi Tokopedia","5"
"Eka Prayudha","Mantap, sangat meminimalisir seller curang. Pertahan kan","5"
"Borneo Adie","Membingungkan Lihat Toko yang sudah kita Follow gimana ....?? Udah gitu metode pembayaran ga ada kyk tetangga sebelah .... Ribetlah Pokoknya ...","1"
"Bless Deiki","Suka susah buat upload barang, padahal di sebelah lancar bgt, uda hapus cache, update tapi tetep aja gabisa.","2"
"Andi Rhamadan","tiga dulu ya, nanti kalo barang sesuai saya kasih bintang 5","3"
"Ima Suprihantini","sangat membantu di masa pandemi dg belanja mudah ditokopedia ...semoga barang sesuai ekspectasi Terimakasih Tokopedia dan tetap member solusi serta diskon yg lbh banyak","3"
"Idvi Nur Ubaidillah","Banyak banget kendalanya, vocer ngga bisa dipake semua, produk dicancel mulu, +lainnya. Ribet + Jelek pokoknya.","1"
"Kha Anddrea","makasih dpt kupon gratis","5"
"Dharma Maya","Mantap .... & cepat","5"
"Apriyanto MP Ucup","kenapa ga dari dulu ya saya download aplikasi ini","5"
"Mukhtar Aliudin","mantap lah dapet gratisan","5"
"bayu mukti","Belanja aman dan nyaman cuman di tokopedia. Yang banyak ngeluh soal tokopedia saya yakin orang gaptek atau mau ngakalin gratis ongkir saja. Maju terus tokopedia. Jual ataupun beli di tokopedia gampang dan mudah banget.","5"
"Agus Sunarto","Saya cobak dulu kalu bagus Saya kasih full bintag ya","1"
"priyo setyo wibowo","toko online terpercaya","5"
"Nita Latif","Kenapa sekarang kupon nya jarang bgt keluar ya.. Sudah 7 hari saya ga dpt kupon cashbak 5 % .. Mana power pro skrg potongan nya gede bgt lg.. Tolong tokopedia kembali seperti bulan bulan kemaren saja..","2"
"M.FATHUR ROZI","Barangnya tiba tiba di batalkan","1"
